uf50-012 0 0 0 12019 1 2 3 4 5 -6 -7 -8 9 -10 11 12 13 -14 15 16 17 -18 19 20 21 22 23 24 -25 -26 -27 -28 29 30 31 32 33 34 35 -36 37 38 -39 40 -41 42 -43 -44 45 46 47 48 49 50
uf50-0123 0 0 10457 10540 1 2 -3 4 5 -6 -7 8 9 10 11 -12 13 -14 15 -16 -17 -18 -19 -20 21 22 23 24 25 26 -27 28 29 30 31 32 -33 -34 -35 -36 37 38 39 40 -41 42 43 -44 45 46 47 -48 -49 50
uf50-0133 0 0 0 11646 1 -2 -3 4 5 -6 7 8 9 -10 11 12 13 -14 15 16 17 18 19 -20 21 22 23 -24 -25 26 27 28 -29 -30 -31 32 -33 34 35 36 37 38 39 -40 -41 42 43 -44 45 46 -47 48 -49 50
uf50-0139 0 0 0 11828 -1 -2 3 4 -5 6 7 8 9 10 -11 12 -13 14 15 -16 -17 18 -19 20 -21 -22 23 24 -25 26 27 28 -29 30 31 32 33 34 35 36 -37 -38 39 -40 41 -42 43 44 45 46 47 48 49 50
uf50-024 0 0 12212 12212 1 2 3 4 5 -6 7 8 -9 -10 11 12 13 14 15 -16 17 18 19 20 21 -22 -23 24 25 26 27 28 29 30 31 32 -33 34 -35 36 37 38 -39 -40 -41 42 43 44 -45 46 47 -48 -49 50
uf50-0241 0 0 11870 11870 1 2 3 4 -5 -6 -7 8 -9 10 11 12 13 14 15 16 17 18 19 -20 -21 -22 -23 -24 25 26 27 28 29 30 -31 32 33 34 35 -36 37 38 39 -40 41 -42 43 44 -45 46 47 48 49 -50
uf50-0274 0 0 12386 12386 1 -2 3 -4 5 6 -7 8 -9 10 -11 12 -13 14 15 16 17 18 19 20 -21 -22 23 24 25 26 27 28 -29 30 -31 32 33 -34 35 36 37 -38 -39 40 41 42 43 44 45 46 -47 48 49 50
uf50-036 0 0 25968 25968 1 2 3 -4 5 6 -7 8 -9 10 -11 12 13 14 15 16 -17 18 19 -20 21 22 23 24 -25 26 -27 -28 29 30 31 -32 -33 34 35 36 -37 38 39 40 -41 42 43 44 45 46 -47 48 -49 -50
uf50-0369 0 0 0 14795 1 -2 -3 4 -5 6 7 -8 -9 -10 -11 -12 -13 14 15 -16 17 18 -19 20 21 -22 23 24 -25 26 -27 -28 29 -30 31 -32 -33 -34 35 -36 -37 38 39 -40 41 42 -43 44 45 46 -47 -48 -49 -50
uf50-0405 0 0 0 26110 1 2 3 -4 5 -6 -7 -8 9 10 -11 12 13 14 15 16 -17 18 19 -20 21 22 23 24 -25 -26 27 28 -29 30 31 32 33 34 35 36 37 -38 39 -40 -41 42 -43 44 -45 46 47 48 49 -50
